Tipo,Cargo u oficio por entrevistados,NIVEL,PROGRAMA,MUNICIPIO,TOTAL_MATRICULADOS_2017,TOTAL_MATRICULADOS_2018,VARIACION_PORCENTUAL_2018_2017
ALTA DEMANDA,INGENIERO DE PRUEBAS DE SOFTWARE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,INGENIERO DE PRUEBAS DE SOFTWARE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA DEMANDA,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA ROTACIÓN,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA ROTACIÓN,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
ALTA DEMANDA,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
ALTA ROTACIÓN,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
CRÍTICO,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA DEMANDA,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA ROTACIÓN,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
ALTA DEMANDA,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
ALTA ROTACIÓN,INGENIERO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
CRÍTICO,LIDER DE INFRAESTRUCTURA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,LIDER DE INFRAESTRUCTURA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
CRÍTICO,LIDER DE INFRAESTRUCTURA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,LIDER DE INFRAESTRUCTURA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,LIDER DE INFRAESTRUCTURA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,LIDER E-COMERCE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,LIDER E-COMERCE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,LIDER E-COMERCE,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
ALTA DEMANDA,LIDER E-COMERCE,UNIVERSITARIO,INGENIERÍA DE SOFTWARE,BOGOTÁ,1362,2517,0.848
CRÍTICO,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA ROTACIÓN,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
ALTA DEMANDA,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
ALTA ROTACIÓN,PROFESIONAL DE OPERACIONES,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
CRÍTICO,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
ALTA DEMANDA,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,PEREIRA,2795,2683,-0.0401
CRÍTICO,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA DEMANDA,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,MEDELLÍN,1267,2244,0.7711
ALTA DEMANDA,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,MEDELLÍN,1267,2244,0.7711
CRÍTICO,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA DEMANDA,PROGRAMADOR,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,TÉCNICO DE SISTEMAS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,TÉCNICO DE SISTEMAS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,TÉCNICO DE SISTEMAS,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,MEDELLÍN,1267,2244,0.7711
CRÍTICO,TÉCNICO DE SISTEMAS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
CRÍTICO,TÉCNICO DE SISTEMAS,UNIVERSITARIO,INGENIERÍA EN INFORMÁTICA,CALI,1066,1044,-0.0206
CRÍTICO,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA DEMANDA,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
ALTA DEMANDA,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
ALTA ROTACIÓN,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BARRANQUILLA,3198,3163,-0.0109
CRÍTICO,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA ROTACIÓN,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA DEMANDA,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA ROTACIÓN,TÉCNICO DE SOPORTE,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,VENDEDOR DE TECNOLOGÍA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
ALTA DEMANDA,VENDEDOR DE TECNOLOGÍA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,VENDEDOR DE TECNOLOGÍA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
ALTA DEMANDA,VENDEDOR DE TECNOLOGÍA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
